isbn,text_reviews_count,work_reviews_count,work_text_reviews_count
043965548X,36089,3336794,49479
1400052920,454,2052864,27347
076790818X,9332,600667,11322
076790382X,2203,89880,2732
193337201X,208,3021,229
097669400X,59,3915,106
1557344493,2,66,2
1575606240,0,12,0
1595580271,16,226,24
1595962808,4,422,4
1590301943,43,945,56
006076273X,12,71622,3098
1932386106,4,107,4
096513671X,2,71622,3098
1596670231,1,81,1
1581807740,4,141,5
1852402873,6,2188,67
1581805632,4,175,4
034541005X,4540,126114,5064
006076287X,9,289,9
1593080271,723,247822,22007
